"Date","Price","Open","High","Low","Vol.","Change %"
"06/08/2023","46,560.00","46,950.00","47,080.00","46,490.00","0.99K","-0.53%"
"06/07/2023","46,810.00","46,500.00","46,810.00","46,480.00","0.71K","0.71%"
"06/06/2023","46,480.00","46,000.00","46,550.00","45,860.00","0.67K","0.78%"
"06/05/2023","46,120.00","46,210.00","46,400.00","46,100.00","0.76K","-0.56%"
"06/02/2023","46,380.00","46,180.00","46,380.00","45,980.00","0.65K","0.22%"
"06/01/2023","46,280.00","46,180.00","46,500.00","46,180.00","0.67K","0.22%"
"05/31/2023","46,180.00","46,150.00","46,330.00","46,000.00","1.15K","0.28%"
"05/30/2023","46,050.00","44,770.00","46,200.00","44,770.00","1.27K","0.63%"
"05/29/2023","45,760.00","45,930.00","45,930.00","45,620.00","0.61K","-0.33%"
"05/26/2023","45,910.00","45,990.00","48,250.00","43,320.00","1.02K","-0.15%"
"05/25/2023","45,980.00","46,350.00","46,350.00","45,870.00","1.51K","-0.22%"
"05/24/2023","46,080.00","45,670.00","46,200.00","45,670.00","0.66K","0.63%"
"05/23/2023","45,790.00","45,900.00","46,050.00","45,610.00","1.38K","-0.35%"
"05/22/2023","45,950.00","46,400.00","46,400.00","45,820.00","1.21K","-4.67%"
"05/19/2023","48,200.00","46,280.00","46,280.00","46,280.00","","0.19%"
"05/18/2023","48,110.00","48,110.00","48,110.00","48,110.00","","-0.85%"
"05/17/2023","48,520.00","48,520.00","48,520.00","48,520.00","","1.02%"
"05/16/2023","48,030.00","48,030.00","48,030.00","48,030.00","","5.26%"
"05/15/2023","45,630.00","45,650.00","45,750.00","45,490.00","0.22K","-0.63%"
"05/12/2023","45,920.00","45,470.00","46,080.00","45,470.00","0.91K","0.77%"
"05/11/2023","45,570.00","45,230.00","45,750.00","44,800.00","0.98K","0.66%"
"05/10/2023","45,270.00","44,840.00","45,270.00","44,810.00","0.93K","0.62%"
"05/09/2023","44,990.00","45,030.00","45,230.00","44,910.00","1.10K","0.29%"
"05/08/2023","44,860.00","44,430.00","44,920.00","44,220.00","1.07K","1.04%"
"05/05/2023","44,400.00","45,300.00","45,350.00","44,400.00","0.85K","-2.20%"
"05/04/2023","45,400.00","46,190.00","46,190.00","45,200.00","0.57K","-1.86%"
"05/03/2023","46,260.00","46,550.00","46,600.00","45,720.00","0.94K","-0.62%"
"05/02/2023","46,550.00","46,810.00","46,810.00","46,520.00","0.75K","-1.08%"
"04/28/2023","47,060.00","47,210.00","47,360.00","47,000.00","0.65K","-0.19%"
"04/27/2023","47,150.00","47,440.00","47,570.00","47,040.00","1.07K","-0.80%"
"04/26/2023","47,530.00","47,510.00","47,690.00","47,490.00","0.63K","-0.11%"
"04/25/2023","47,580.00","47,390.00","47,780.00","47,390.00","0.82K","0.27%"
"04/24/2023","47,450.00","48,160.00","48,240.00","47,410.00","1.24K","-1.45%"
"04/21/2023","48,150.00","48,150.00","48,260.00","48,000.00","0.46K","-1.13%"
"04/20/2023","48,700.00","48,210.00","48,210.00","48,210.00","","0.39%"
"04/19/2023","48,510.00","48,510.00","48,510.00","48,510.00","","-1.04%"
"04/18/2023","49,020.00","49,020.00","49,020.00","49,020.00","","-0.02%"
"04/17/2023","49,030.00","49,030.00","49,030.00","49,030.00","","3.48%"
"04/13/2023","47,380.00","47,230.00","47,700.00","47,120.00","0.43K","0.21%"
"04/12/2023","47,280.00","47,280.00","47,500.00","47,150.00","0.38K","-0.13%"
"04/11/2023","47,340.00","47,450.00","47,550.00","47,280.00","0.59K","-0.57%"
"04/10/2023","47,610.00","48,480.00","48,490.00","47,460.00","1.12K","-2.12%"
"04/06/2023","48,640.00","48,700.00","48,770.00","48,610.00","0.36K","-0.33%"
"04/05/2023","48,800.00","48,800.00","49,000.00","48,760.00","0.84K","0.14%"
"04/03/2023","48,730.00","48,990.00","49,020.00","48,650.00","0.59K","-0.43%"
"03/31/2023","48,940.00","48,590.00","48,950.00","48,580.00","1.93K","0.89%"
"03/29/2023","48,510.00","48,550.00","48,820.00","48,440.00","1.51K","0.06%"
"03/28/2023","48,480.00","48,420.00","48,500.00","48,190.00","0.78K","-0.12%"
"03/27/2023","48,540.00","48,370.00","49,430.00","48,350.00","0.65K","0.48%"
"03/24/2023","48,310.00","48,480.00","48,620.00","48,300.00","1.31K","-0.17%"
"03/23/2023","48,390.00","48,240.00","48,420.00","48,100.00","1.18K","0.27%"
"03/22/2023","48,260.00","48,500.00","48,680.00","48,210.00","1.14K","-0.47%"
"03/21/2023","48,490.00","48,340.00","48,500.00","48,100.00","1.60K","-1.86%"
"03/20/2023","49,410.00","49,500.00","49,500.00","49,400.00","0.51K","-1.67%"
"03/17/2023","50,250.00","50,250.00","50,250.00","50,250.00","0.20K","-0.08%"
"03/15/2023","50,290.00","50,400.00","50,400.00","50,010.00","0.12K","-0.02%"
"03/14/2023","50,300.00","50,390.00","50,490.00","50,110.00","0.27K","0.40%"
"03/13/2023","50,100.00","49,520.00","50,490.00","49,420.00","0.44K","0.97%"
"03/10/2023","49,620.00","49,720.00","49,770.00","49,420.00","1.22K","-0.26%"
"03/09/2023","49,750.00","50,010.00","50,010.00","49,610.00","0.83K","-0.36%"
"03/08/2023","49,930.00","49,700.00","50,060.00","49,700.00","0.48K","0.42%"
"03/06/2023","49,720.00","49,510.00","49,880.00","49,500.00","1.37K","0.81%"
"03/03/2023","49,320.00","49,240.00","49,350.00","49,150.00","1.02K","0.16%"
"03/02/2023","49,240.00","49,380.00","49,460.00","49,220.00","0.69K","-0.14%"
"03/01/2023","49,310.00","49,150.00","49,500.00","49,130.00","0.77K","0.26%"
"02/28/2023","49,180.00","48,900.00","49,260.00","48,850.00","1.53K","0.74%"
"02/27/2023","48,820.00","48,600.00","48,920.00","48,600.00","0.95K","0.31%"
"02/24/2023","48,670.00","49,270.00","49,270.00","48,570.00","1.70K","-1.16%"
"02/23/2023","49,240.00","49,550.00","49,600.00","49,150.00","1.49K","-0.53%"
"02/22/2023","49,500.00","49,350.00","49,590.00","49,150.00","2.79K","0.16%"
"02/21/2023","49,420.00","49,250.00","49,750.00","49,250.00","1.84K","0.86%"
"02/20/2023","49,000.00","49,290.00","49,290.00","49,290.00","","-0.06%"
"02/17/2023","49,030.00","49,030.00","49,030.00","49,030.00","","1.93%"
"02/15/2023","48,100.00","48,100.00","48,100.00","48,100.00","","2.34%"
"02/14/2023","47,000.00","47,350.00","47,700.00","44,520.00","0.56K","-0.49%"
"02/13/2023","47,230.00","46,980.00","47,390.00","46,650.00","1.64K","0.47%"
"02/10/2023","47,010.00","47,650.00","47,650.00","46,800.00","0.77K","-1.30%"
"02/09/2023","47,630.00","48,130.00","48,290.00","46,740.00","1.09K","-1.12%"
"02/08/2023","48,170.00","48,240.00","48,280.00","47,990.00","1.37K","-0.29%"
"02/07/2023","48,310.00","48,510.00","48,530.00","48,130.00","1.79K","-0.51%"
"02/06/2023","48,560.00","48,630.00","48,640.00","48,360.00","1.48K","0.12%"
"02/03/2023","48,500.00","48,510.00","48,660.00","48,250.00","1.88K","0.14%"
"02/02/2023","48,430.00","48,610.00","48,790.00","48,250.00","0.81K","-0.64%"
"02/01/2023","48,740.00","49,230.00","49,440.00","48,620.00","1.54K","-0.93%"
"01/31/2023","49,200.00","49,810.00","49,810.00","49,060.00","1.41K","-1.22%"
"01/30/2023","49,810.00","50,170.00","50,280.00","49,790.00","0.82K","-0.64%"
"01/27/2023","50,130.00","50,490.00","50,490.00","50,060.00","0.64K","0.08%"
"01/25/2023","50,090.00","50,180.00","50,270.00","50,040.00","1.03K","-0.06%"
"01/24/2023","50,120.00","50,340.00","50,410.00","50,000.00","2.01K","-0.42%"
"01/23/2023","50,330.00","50,330.00","50,570.00","50,180.00","2.19K","-0.34%"
"01/20/2023","50,500.00","50,500.00","50,500.00","50,500.00","0.01K","0.00%"
"01/19/2023","50,500.00","50,500.00","50,500.00","50,500.00","0.01K","0.50%"
"01/17/2023","50,250.00","50,000.00","50,500.00","50,000.00","0.02K","0.32%"
"01/16/2023","50,090.00","49,700.00","51,000.00","49,700.00","0.05K","0.99%"
"01/13/2023","49,600.00","49,180.00","49,750.00","49,180.00","0.75K","1.27%"
"01/12/2023","48,980.00","49,060.00","49,190.00","48,850.00","0.79K","0.37%"
"01/11/2023","48,800.00","48,090.00","48,850.00","48,090.00","1.31K","1.75%"
"01/10/2023","47,960.00","48,320.00","48,630.00","47,880.00","0.74K","-0.75%"
"01/09/2023","48,320.00","48,800.00","48,870.00","47,850.00","1.16K","-1.04%"
"01/06/2023","48,830.00","48,800.00","48,900.00","48,510.00","1.02K","-0.33%"
"01/05/2023","48,990.00","48,830.00","49,070.00","48,600.00","1.01K","0.33%"
"01/04/2023","48,830.00","48,800.00","48,900.00","48,340.00","1.41K","-0.22%"
"01/03/2023","48,940.00","49,340.00","49,350.00","48,710.00","0.94K","-0.75%"
"01/02/2023","49,310.00","48,800.00","49,390.00","48,760.00","1.28K","1.40%"
"12/30/2022","48,630.00","48,100.00","48,670.00","48,100.00","2.41K","1.21%"
"12/29/2022","48,050.00","48,340.00","48,340.00","47,880.00","1.46K","-0.56%"
"12/28/2022","48,320.00","48,010.00","48,600.00","47,960.00","1.90K","0.81%"
"12/27/2022","47,930.00","47,750.00","48,200.00","47,750.00","3.24K","0.40%"
"12/26/2022","47,740.00","47,110.00","47,900.00","47,110.00","2.29K","1.66%"
"12/23/2022","46,960.00","46,370.00","47,000.00","46,140.00","3.06K","1.32%"
"12/22/2022","46,350.00","46,380.00","46,500.00","46,100.00","0.84K","0.30%"
"12/21/2022","46,210.00","46,470.00","46,470.00","46,070.00","2.35K","0.46%"
"12/20/2022","46,000.00","46,000.00","46,000.00","46,000.00","0.01K","0.00%"
"12/19/2022","46,000.00","46,000.00","46,000.00","46,000.00","0.04K","-2.21%"
"12/16/2022","47,040.00","47,040.00","47,040.00","47,040.00","","3.50%"
"12/15/2022","45,450.00","45,450.00","45,450.00","45,450.00","0.01K","-0.26%"
"12/14/2022","45,570.00","45,800.00","46,450.00","44,010.00","0.50K","-1.17%"
"12/13/2022","46,110.00","46,410.00","46,410.00","45,980.00","0.44K","-0.80%"
"12/12/2022","46,480.00","46,990.00","47,020.00","46,420.00","3.55K","-1.25%"
"12/09/2022","47,070.00","46,840.00","47,540.00","46,800.00","2.66K","0.79%"
"12/08/2022","46,700.00","46,190.00","47,250.00","46,150.00","3.57K","1.41%"
"12/07/2022","46,050.00","45,700.00","46,130.00","45,700.00","1.27K","0.94%"
"12/06/2022","45,620.00","45,900.00","45,900.00","45,440.00","1.86K","-0.35%"
"12/05/2022","45,780.00","45,300.00","45,870.00","45,270.00","1.96K","1.53%"
"12/02/2022","45,090.00","45,450.00","45,730.00","44,900.00","1.64K","-0.57%"
"12/01/2022","45,350.00","45,520.00","46,590.00","44,580.00","2.34K","0.60%"
"11/30/2022","45,080.00","45,000.00","45,150.00","44,450.00","1.71K","1.99%"
"11/29/2022","44,200.00","43,310.00","44,260.00","43,310.00","2.46K","1.84%"
"11/28/2022","43,400.00","43,530.00","43,700.00","43,260.00","2.28K","-0.05%"
"11/25/2022","43,420.00","42,880.00","43,470.00","42,700.00","3.19K","1.02%"
"11/24/2022","42,980.00","43,200.00","43,600.00","42,880.00","3.95K","-0.76%"
"11/23/2022","43,310.00","43,830.00","43,830.00","43,260.00","1.89K","-1.30%"
"11/22/2022","43,880.00","44,330.00","44,410.00","43,850.00","1.97K","-0.90%"
"11/21/2022","44,280.00","45,250.00","45,250.00","44,000.00","3.49K","3.85%"
"11/18/2022","42,640.00","42,800.00","42,800.00","42,640.00","1.75K","-1.66%"
"11/17/2022","43,360.00","43,360.00","43,360.00","43,360.00","","-2.28%"
"11/16/2022","44,370.00","44,370.00","44,370.00","44,370.00","","-3.25%"
"11/15/2022","45,860.00","45,990.00","45,990.00","45,770.00","0.14K","3.57%"
"11/14/2022","44,280.00","44,120.00","44,470.00","44,110.00","0.24K","-3.72%"
"11/11/2022","45,990.00","45,280.00","45,990.00","44,910.00","0.63K","1.34%"
"11/10/2022","45,380.00","46,300.00","46,300.00","44,870.00","0.60K","-2.22%"
"11/09/2022","46,410.00","46,470.00","46,770.00","46,350.00","0.97K","0.13%"
"11/07/2022","46,350.00","46,420.00","46,610.00","44,650.00","0.66K","-1.45%"
"11/04/2022","47,030.00","47,070.00","47,200.00","46,640.00","1.42K","-0.42%"
"11/03/2022","47,230.00","47,410.00","47,650.00","47,140.00","0.61K","-0.44%"
"11/02/2022","47,440.00","47,720.00","47,740.00","47,300.00","1.27K","-0.55%"
"11/01/2022","47,700.00","47,960.00","48,070.00","47,650.00","0.63K","-0.44%"
"10/31/2022","47,910.00","47,900.00","48,040.00","47,680.00","0.74K","-0.27%"
"10/28/2022","48,040.00","48,120.00","48,160.00","47,890.00","0.56K","-0.44%"
"10/27/2022","48,250.00","48,590.00","48,770.00","48,150.00","1.42K","-1.01%"
"10/25/2022","48,740.00","48,970.00","48,970.00","48,650.00","0.38K","-0.75%"
"10/24/2022","49,110.00","49,120.00","49,120.00","49,090.00","0.02K","0.14%"
"10/21/2022","49,040.00","48,650.00","49,120.00","48,600.00","1.39K","-0.33%"
"10/20/2022","49,200.00","48,610.00","48,610.00","48,610.00","","-0.63%"
"10/19/2022","49,510.00","49,510.00","49,510.00","49,510.00","","0.20%"
"10/18/2022","49,410.00","49,410.00","49,410.00","49,410.00","0.02K","2.07%"
"10/17/2022","48,410.00","48,400.00","48,410.00","48,400.00","0.02K","0.44%"
"10/14/2022","48,200.00","49,840.00","49,840.00","48,110.00","0.43K","-3.41%"
"10/13/2022","49,900.00","50,150.00","50,150.00","49,700.00","0.23K","-0.85%"
"10/12/2022","50,330.00","49,700.00","50,650.00","49,700.00","2.08K","1.59%"
"10/11/2022","49,540.00","49,890.00","49,890.00","49,340.00","0.93K","-0.80%"
"10/10/2022","49,940.00","49,900.00","49,980.00","49,890.00","0.35K","0.06%"
"10/07/2022","49,910.00","49,900.00","49,950.00","49,740.00","0.91K","-0.12%"
"10/06/2022","49,970.00","49,650.00","50,020.00","49,650.00","0.74K","0.83%"
"10/04/2022","49,560.00","49,200.00","49,570.00","49,200.00","0.89K","0.67%"
"10/03/2022","49,230.00","49,700.00","49,700.00","49,140.00","1.01K","-1.01%"
"09/30/2022","49,730.00","49,610.00","49,770.00","49,580.00","0.52K","0.12%"
"09/29/2022","49,670.00","49,310.00","49,690.00","49,200.00","0.78K","0.59%"
"09/28/2022","49,380.00","49,620.00","49,620.00","49,250.00","1.31K","-0.52%"
"09/27/2022","49,640.00","49,360.00","49,670.00","49,360.00","1.53K","0.55%"
"09/26/2022","49,370.00","48,850.00","49,440.00","48,800.00","0.80K","1.56%"
"09/23/2022","48,610.00","48,750.00","48,750.00","48,350.00","0.75K","0.00%"
"09/22/2022","48,610.00","48,390.00","48,660.00","48,200.00","0.93K","0.23%"
"09/21/2022","48,500.00","48,470.00","48,810.00","48,460.00","0.78K","-3.00%"
"09/20/2022","50,000.00","48,490.00","48,490.00","48,490.00","","-2.82%"
"09/19/2022","51,450.00","51,400.00","51,550.00","51,400.00","0.15K","1.00%"
"09/16/2022","50,940.00","50,940.00","50,940.00","50,940.00","","-1.09%"
"09/15/2022","51,500.00","51,500.00","51,500.00","51,500.00","0.04K","0.59%"
"09/14/2022","51,200.00","51,200.00","51,200.00","51,200.00","0.02K","0.75%"
"09/13/2022","50,820.00","50,180.00","51,100.00","50,180.00","0.55K","1.62%"
"09/12/2022","50,010.00","49,800.00","50,090.00","49,800.00","0.30K","0.56%"
"09/09/2022","49,730.00","49,520.00","49,750.00","49,450.00","0.30K","0.30%"
"09/08/2022","49,580.00","49,440.00","49,680.00","49,440.00","0.65K","0.49%"
"09/07/2022","49,340.00","49,130.00","49,450.00","49,120.00","0.31K","0.26%"
"09/06/2022","49,210.00","49,210.00","49,400.00","49,100.00","0.71K","0.33%"
"09/05/2022","49,050.00","49,480.00","49,480.00","49,000.00","0.68K","-1.07%"
"09/02/2022","49,580.00","49,070.00","49,600.00","49,020.00","1.04K","0.75%"
"09/01/2022","49,210.00","49,240.00","49,450.00","49,110.00","1.05K","-0.24%"
"08/30/2022","49,330.00","49,370.00","49,550.00","49,090.00","0.97K","-0.62%"
"08/29/2022","49,640.00","50,110.00","50,110.00","49,550.00","1.00K","-1.10%"
